2026-05-31 02:37:04,595 WARNING __main__ no LLM provider configured (GITHUB_TOKEN not set); LLM-driven ticks will error
2026-05-31 02:37:04,597 INFO apscheduler.scheduler Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-31 02:37:04,597 INFO apscheduler.scheduler Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-31 02:37:04,597 INFO apscheduler.scheduler Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-31 02:37:04,597 INFO apscheduler.scheduler Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-31 02:37:04,597 INFO apscheduler.scheduler Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-31 02:37:04,597 INFO __main__ scheduler starting (broker=sandbox)
2026-05-31 02:37:04,597 INFO apscheduler.scheduler Added job "SchedulerRunner.job_mtm" to job store "default"
2026-05-31 02:37:04,597 INFO apscheduler.scheduler Added job "SchedulerRunner.job_day_tick" to job store "default"
2026-05-31 02:37:04,597 INFO apscheduler.scheduler Added job "SchedulerRunner.job_long_tick" to job store "default"
2026-05-31 02:37:04,597 INFO apscheduler.scheduler Added job "SchedulerRunner.job_coord_tick" to job store "default"
2026-05-31 02:37:04,597 INFO apscheduler.scheduler Added job "SchedulerRunner.job_tick_poll" to job store "default"
2026-05-31 02:37:04,597 INFO apscheduler.scheduler Scheduler started
2026-05-31 02:38:04,627 INFO apscheduler.executors.default Job "SchedulerRunner.job_tick_poll (trigger: interval[0:00:05], next run at: 2026-05-31 02:38:09 CDT)" executed successfully
2026-05-31 02:38:04,730 INFO apscheduler.executors.default Job "SchedulerRunner.job_mtm (trigger: interval[0:01:00], next run at: 2026-05-31 02:39:04 CDT)" executed successfully
2026-05-31 02:38:09,605 INFO apscheduler.executors.default Running job "SchedulerRunner.job_tick_poll (trigger: interval[0:00:05], next run at: 2026-05-31 02:38:14 CDT)" (scheduled at 2026-05-31 02:38:09.597247-05:00)
2026-05-31 02:38:09,606 INFO apscheduler.executors.default Job "SchedulerRunner.job_tick_poll (trigger: interval[0:00:05], next run at: 2026-05-31 02:38:14 CDT)" executed successfully
2026-05-31 02:38:14,602 INFO apscheduler.executors.default Running job "SchedulerRunner.job_tick_poll (trigger: interval[0:00:05], next run at: 2026-05-31 02:38:19 CDT)" (scheduled at 2026-05-31 02:38:14.597247-05:00)
2026-05-31 02:38:14,603 INFO apscheduler.executors.default Job "SchedulerRunner.job_tick_poll (trigger: interval[0:00:05], next run at: 2026-05-31 02:38:19 CDT)" executed successfully
2026-05-31 02:38:19,601 INFO apscheduler.executors.default Running job "SchedulerRunner.job_tick_poll (trigger: interval[0:00:05], next run at: 2026-05-31 02:38:24 CDT)" (scheduled at 2026-05-31 02:38:19.597247-05:00)
2026-05-31 02:38:19,603 INFO apscheduler.executors.default Job "SchedulerRunner.job_tick_poll (trigger: interval[0:00:05], next run at: 2026-05-31 02:38:24 CDT)" executed successfully
2026-05-31 02:38:24,603 INFO apscheduler.executors.default Running job "SchedulerRunner.job_tick_poll (trigger: interval[0:00:05], next run at: 2026-05-31 02:38:29 CDT)" (scheduled at 2026-05-31 02:38:24.597247-05:00)
2026-05-31 02:38:24,603 INFO apscheduler.executors.default Job "SchedulerRunner.job_tick_poll (trigger: interval[0:00:05], next run at: 2026-05-31 02:38:29 CDT)" executed successfully
2026-05-31 02:38:29,599 INFO apscheduler.executors.default Running job "SchedulerRunner.job_tick_poll (trigger: interval[0:00:05], next run at: 2026-05-31 02:38:34 CDT)" (scheduled at 2026-05-31 02:38:29.597247-05:00)
2026-05-31 02:38:29,600 INFO apscheduler.executors.default Job "SchedulerRunner.job_tick_poll (trigger: interval[0:00:05], next run at: 2026-05-31 02:38:34 CDT)" executed successfully
2026-05-31 02:38:34,602 INFO apscheduler.executors.default Running job "SchedulerRunner.job_tick_poll (trigger: interval[0:00:05], next run at: 2026-05-31 02:38:39 CDT)" (scheduled at 2026-05-31 02:38:34.597247-05:00)
